Timestamp,Time_s,X,Y,Z,Acceleration_Magnitude,Step,Minute,,,,
07:36.5,18.7845,1.4629501,2.29005,8.2300501,8.667080053,0,1,,,,
07:36.6,18.8929,1.5850501,3.2839501,8.9850006,9.696749345,0,1,,,,
07:36.7,19.0022,-0.68205005,3.6630001,8.6370001,9.406409131,0,1,,,,
07:36.9,19.1389,2.18595,3.4639502,13.405951,14.01773343,1,1,,,,
07:37.0,19.2503,2.4019501,4.2780004,6.7720504,8.362494743,0,1,,,,
07:37.1,19.3584,1.8889501,2.9200501,8.9440508,9.596398792,0,1,,,,
07:37.2,19.4662,2.2720501,2.9560502,9.993,10.66585643,0,1,,,,
07:37.3,19.5858,3.1249502,2.1400502,9.6790504,10.393707,0,1,,,,
07:37.4,19.6956,1.008,0.80595005,10.335,10.41526977,0,1,,,,
07:37.5,19.8064,2.1670501,1.55295,10.42605,10.76151841,0,1,,,,
07:37.6,19.9332,2.6890502,2.9779501,9.0900002,9.936160295,0,1,,,,
07:37.8,20.07,1.40295,3.4740002,10.218,10.88321966,0,1,,,,
07:37.9,20.1801,0.28005001,4.3549504,7.4520001,8.635758593,0,1,,,,
07:38.0,20.2892,-0.16995001,3.3400502,11.91405,12.37454669,1,1,,,,
07:38.1,20.3978,0.45000002,3.9600003,7.4689503,8.465773501,0,1,,,,
07:38.2,20.5277,0.66495001,4.1269503,8.3520002,9.33968868,0,1,,,,
07:38.4,20.6359,1.4100001,4.7260504,9.0640507,10.31894703,0,1,,,,
07:38.5,20.7491,0.65805006,4.4509501,10.30395,11.24345909,0,1,,,,
07:38.6,20.8646,1.40295,4.8559504,8.118,9.562972707,0,1,,,,
07:38.7,20.9839,1.35,3.9000001,8.0340004,9.032035386,0,1,,,,
07:38.8,21.1022,-0.31095001,3.2749503,7.2289505,7.9422739,0,1,,,,
07:38.9,21.2119,-0.00405,5.1960001,9.1360502,10.51027339,0,1,,,,
07:39.0,21.3228,-2.5890002,5.2150502,8.9250002,10.65623288,0,1,,,,
07:39.1,21.4325,-1.62405,2.6089501,11.740951,12.13647764,1,1,,,,
07:39.3,21.5431,0.91395003,4.2090001,10.015051,10.90193712,0,1,,,,
07:39.4,21.6618,-0.85500002,4.671,5.8660502,7.547172383,0,1,,,,
07:39.5,21.7899,0.33000001,4.7380505,9.6739502,10.77698172,0,1,,,,
07:39.6,21.9124,1.4629501,5.0089502,7.9960504,9.548121653,0,1,,,,
07:39.8,22.0366,1.1179501,3.7129502,9.0679502,9.86222756,0,1,,,,
07:39.9,22.1471,0.18195,3.7729502,7.1310005,8.069660906,0,1,,,,
07:40.0,22.2574,1.0819501,5.3590503,8.9869509,10.51928337,0,1,,,,
07:40.1,22.3665,-1.4410501,5.9089503,8.0340004,10.07658084,0,1,,,,
07:40.2,22.4762,0.40905002,5.6820002,10.72305,12.14233295,1,1,,,,
07:40.3,22.5862,-0.75405002,5.6530504,6.4480505,8.608305612,0,1,,,,
07:40.4,22.6949,-0.26100001,4.1130004,6.6810002,7.849882609,0,1,,,,
07:40.5,22.814,0.65295005,4.9780502,9.4230003,10.67709053,0,1,,,,
07:40.6,22.9291,1.011,5.7030001,10.125001,11.6645607,0,1,,,,
07:40.8,23.0449,-0.13095,3.5620501,11.53995,12.07790523,1,1,,,,
07:40.9,23.1563,1.8079501,5.2720504,7.6309505,9.44958224,0,1,,,,
07:41.0,23.2695,-1.2379501,4.1370001,7.0759501,8.289533165,0,1,,,,
07:41.1,23.3838,-1.2040501,5.7490501,8.21805,10.10136919,0,1,,,,
07:41.2,23.4948,-1.1230501,6.5130005,9.9349508,11.93246263,0,1,,,,
07:41.3,23.6135,-1.1230501,3.0520501,11.752951,12.19459341,1,1,,,,
